filename,Footprint_Width_m,Footprint_Height_m,Area_m2,GSD_cm_px,MRK_to_Center_Offset_m
DJI_0010.JPG,28.81,35.56,1024.63,1.8,11.62
DJI_0020.JPG,28.85,35.6,1026.98,1.8,11.63
DJI_0030.JPG,28.81,35.55,1024.01,1.8,11.61
DJI_0040.JPG,28.96,35.74,1034.92,1.81,11.67
DJI_0050.JPG,29.31,36.17,1060.19,1.83,11.81
DJI_0060.JPG,29.26,36.11,1056.67,1.83,11.8
DJI_0070.JPG,29.41,36.29,1067.37,1.84,11.85
DJI_0080.JPG,29.83,36.82,1098.41,1.86,12.03
DJI_0090.JPG,29.62,36.55,1082.71,1.85,11.94
DJI_0100.JPG,29.04,35.83,1040.52,1.81,11.7
DJI_0110.JPG,28.77,35.5,1021.41,1.8,11.6
DJI_0120.JPG,28.77,35.51,1021.78,1.8,11.6
DJI_0130.JPG,28.73,35.45,1018.45,1.8,11.58
DJI_0140.JPG,28.75,35.48,1020.3,1.8,11.59
DJI_0150.JPG,28.73,35.45,1018.32,1.8,11.58
DJI_0160.JPG,28.7,35.42,1016.85,1.79,11.57
DJI_0170.JPG,28.7,35.42,1016.35,1.79,11.57
DJI_0180.JPG,27.47,33.9,931.46,1.72,11.07
DJI_0190.JPG,26.97,33.28,897.45,1.69,10.87
DJI_0200.JPG,27.42,33.84,928.16,1.71,11.05
DJI_0210.JPG,27.84,34.35,956.28,1.74,11.22
DJI_0220.JPG,28.18,34.77,979.84,1.76,11.36
DJI_0230.JPG,28.45,35.11,998.81,1.78,11.47
DJI_0240.JPG,28.37,35.01,993.44,1.77,11.44
DJI_0250.JPG,28.29,34.92,987.97,1.77,11.41
DJI_0330.JPG,28.55,35.23,1005.78,1.78,11.51
DJI_0340.JPG,28.11,34.69,974.89,1.76,11.33
DJI_0350.JPG,27.91,34.45,961.42,1.74,11.25
DJI_0360.JPG,27.82,34.33,955.2,1.74,11.21
DJI_0370.JPG,27.72,34.21,948.4,1.73,11.17
